paper_id,pmid,source_collection,parse_source_type,pdf_path,xml_path,normalized_json_path,parse_status,section_count,body_word_count,parser_warnings
pmid-27127234,27127234,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-27127234.pdf,papers/fulltext/parsed/pmc_xml/PMC5193222.xml,papers/fulltext/parsed/normalized/27127234.json,cached_normalized,32,8526,
pmid-27120583,27120583,pi-backlog,pdf_grobid,papers/fulltext/inventory/manual/pmid-27120583.pdf,,papers/fulltext/parsed/normalized/27120583.json,cached_normalized,54,12400,Using canonical paper title over GROBID TEI title.; Using canonical paper abstract over GROBID TEI abstract.
pmid-27116236,27116236,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-27116236.pdf,papers/fulltext/parsed/pmc_xml/PMC4846163.xml,papers/fulltext/parsed/normalized/27116236.json,cached_normalized,18,4993,
pmid-26845514,26845514,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-26845514.pdf,papers/fulltext/parsed/pmc_xml/PMC5477850.xml,papers/fulltext/parsed/normalized/26845514.json,cached_normalized,9,5760,
pmid-26799564,26799564,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-26799564.pdf,papers/fulltext/parsed/pmc_xml/PMC4723060.xml,papers/fulltext/parsed/normalized/26799564.json,cached_normalized,6,3225,
pmid-26789921,26789921,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-26789921.pdf,papers/fulltext/parsed/pmc_xml/PMC4878455.xml,papers/fulltext/parsed/normalized/26789921.json,cached_normalized,11,4587,
pmid-26546155,26546155,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-26546155.pdf,papers/fulltext/parsed/pmc_xml/PMC5538256.xml,papers/fulltext/parsed/normalized/26546155.json,cached_normalized,16,5132,
pmid-26651948,26651948,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-26651948.pdf,papers/fulltext/parsed/pmc_xml/PMC4829074.xml,papers/fulltext/parsed/normalized/26651948.json,cached_normalized,19,4986,
pmid-26443011,26443011,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-26443011.pdf,papers/fulltext/parsed/pmc_xml/PMC5099076.xml,papers/fulltext/parsed/normalized/26443011.json,cached_normalized,16,3177,
pmid-26435392,26435392,pi-backlog,pmc_xml,papers/fulltext/inventory/oa/pmid-26435392.pdf,papers/fulltext/parsed/pmc_xml/PMC5706558.xml,papers/fulltext/parsed/normalized/26435392.json,cached_normalized,16,4323,
